"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","752","invalid credentials show validation errors","firefox","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","1041","invalid credentials show validation errors","webkit","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","1358","valid user can log in","firefox","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","828","has correct title","chromium","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","1575","Register nav link navigates to register page","webkit","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","1244","valid user can log in","chromium","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","1562","View Employees hero button navigates to employees page","firefox","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","1508","has correct title","webkit","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","1504","View Employees hero button navigates to employees page","webkit","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","881","Login nav link navigates to login page","chromium","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","688","invalid credentials show validation errors","chromium","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","1138","has correct title","firefox","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","807","has correct title","chromium","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","1291","has correct title","webkit","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","1416","Register nav link navigates to register page","firefox","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","921","View Employees hero button navigates to employees page","chromium","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","1611","valid user can log in","webkit","2026-05-19","passed","2026-05-19","Login page","example.spec.js","",""
"","1315","has correct title","firefox","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","1489","Login nav link navigates to login page","firefox","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","1021","Register nav link navigates to register page","chromium","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
"","1641","Login nav link navigates to login page","webkit","2026-05-19","passed","2026-05-19","Home page","example.spec.js","",""
