"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","should load Employee page","firefox","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","2333","valid user can log in","webkit","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","47","should return 404 for non-existent page","chromium","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","263","should load home page","firefox","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","649","has correct title","chromium","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","2156","Login nav link navigates to login page","webkit","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","49","should load Employee page","webkit","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","925","Login nav link navigates to login page","chromium","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","1122","Register nav link navigates to register page","firefox","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","906","Register nav link navigates to register page","chromium","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","46","should return 404 for non-existent page","webkit","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","52","should load Account/Login page","chromium","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","8296","has correct title","webkit","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","856","View Employees hero button navigates to employees page","chromium","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","52","should load Account/Login page","webkit","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","1266","invalid credentials show validation errors","webkit","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","2195","View Employees hero button navigates to employees page","webkit","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","1231","Login nav link navigates to login page","firefox","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","1028","has correct title","chromium","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","1156","View Employees hero button navigates to employees page","firefox","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","1285","valid user can log in","chromium","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","1238","has correct title","webkit","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","2316","Register nav link navigates to register page","webkit","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","52","should load Account/Login page","firefox","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","288","should load home page","webkit","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","824","has correct title","firefox","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","1366","valid user can log in","firefox","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","758","invalid credentials show validation errors","chromium","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","914","invalid credentials show validation errors","firefox","2026-05-30","passed","2026-05-30","Login page","example.spec.js","",""
"","53","should load Employee page","chromium","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","1802","has correct title","firefox","2026-05-30","passed","2026-05-30","Home page","example.spec.js","",""
"","47","should return 404 for non-existent page","firefox","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
"","246","should load home page","chromium","2026-05-30","passed","2026-05-30","Application Endpoints","api.spec.js","",""
